Word,Length,Freq_HAL,Log_Freq_HAL
software,8,"325,439",12.693
computer,8,"253,358",12.443
anything,8,"214,704",12.277
probably,8,"205,006",12.231
actually,8,"196,457",12.188
problems,8,"193,241",12.172
question,8,"184,252",12.124
possible,8,"159,908",11.982
business,8,"156,876",11.963
position,8,"144,944",11.884
remember,8,"142,627",11.868
services,8,"132,688",11.796
original,8,"126,061",11.745
research,8,"126,031",11.744
American,8,"119,723",11.693
everyone,8,"119,257",11.689
national,8,"114,548",11.649
although,8,"109,965",11.608
programs,8,"109,080",11.6
standard,8,"108,320",11.593
personal,8,"108,044",11.59
complete,8,"103,017",11.543
sequence,8,"102,898",11.541
language,8,"97,874",11.491
children,8,"96,102",11.473
products,8,"94,325",11.455
interest,8,"90,246",11.41
together,8,"90,238",11.41
required,8,"88,963",11.396
wouldn't,8,"87,980",11.385
yourself,8,"84,061",11.339
whatever,8,"81,172",11.304
consider,8,"78,623",11.272
shipping,8,"78,308",11.268
response,8,"77,995",11.264
comments,8,"76,991",11.251
hardware,8,"76,178",11.241
organism,8,"76,012",11.239
opinions,8,"74,135",11.214
recently,8,"73,587",11.206
includes,8,"72,896",11.197
specific,8,"70,494",11.163
directly,8,"69,933",11.155
included,8,"69,433",11.148
previous,8,"68,239",11.131
messages,8,"64,553",11.075
articles,8,"64,285",11.071
thinking,8,"64,226",11.07
couldn't,8,"64,083",11.068
location,8,"62,969",11.05
security,8,"62,549",11.044
evidence,8,"62,334",11.04
February,8,"60,969",11.018
magazine,8,"60,422",11.009
received,8,"60,413",11.009
involved,8,"59,463",10.993
material,8,"59,366",10.991
training,8,"58,664",10.98
function,8,"57,907",10.967
document,8,"57,743",10.964
industry,8,"56,926",10.95
happened,8,"56,714",10.946
continue,8,"55,897",10.931
students,8,"55,764",10.929
starting,8,"53,738",10.892
features,8,"53,511",10.888
primates,8,"52,976",10.878
solution,8,"52,273",10.864
contains,8,"52,018",10.859
provided,8,"50,365",10.827
argument,8,"49,353",10.807
machines,8,"48,947",10.798
building,8,"48,370",10.787
military,8,"47,865",10.776
versions,8,"47,697",10.773
analysis,8,"47,575",10.77
engineer,8,"47,390",10.766
contract,8,"47,097",10.76
addition,8,"46,938",10.757
requires,8,"46,800",10.754
supposed,8,"46,164",10.74
released,8,"45,360",10.722
Japanese,8,"44,955",10.713
multiple,8,"44,662",10.707
provides,8,"44,337",10.7
practice,8,"44,294",10.699
official,8,"44,245",10.697
physical,8,"44,223",10.697
artifact,8,"43,646",10.684
increase,8,"43,670",10.684
designed,8,"43,004",10.669
straight,8,"42,466",10.656
congress,8,"42,314",10.653
religion,8,"40,955",10.62
possibly,8,"40,285",10.604
internal,8,"38,828",10.567
benefits,8,"38,425",10.556
economic,8,"37,730",10.538
favorite,8,"37,480",10.532
decision,8,"36,601",10.508
director,8,"36,607",10.508
advanced,8,"36,516",10.506
exchange,8,"36,266",10.499
separate,8,"36,232",10.498
slightly,8,"35,773",10.485
keyboard,8,"35,312",10.472
universe,8,"35,314",10.472
division,8,"35,084",10.466
anywhere,8,"34,991",10.463
pictures,8,"34,996",10.463
learning,8,"34,857",10.459
expected,8,"34,828",10.458
mountain,8,"34,727",10.455
majority,8,"34,564",10.451
purchase,8,"34,455",10.447
approach,8,"34,189",10.44
accepted,8,"33,901",10.431
somebody,8,"33,446",10.418
transfer,8,"33,168",10.409
European,8,"33,102",10.407
property,8,"33,095",10.407
customer,8,"32,952",10.403
planning,8,"32,800",10.398
intended,8,"32,601",10.392
powerful,8,"32,105",10.377
somewhat,8,"31,984",10.373
resource,8,"31,910",10.371
existing,8,"31,565",10.36
external,8,"31,477",10.357
speaking,8,"31,235",10.349
reported,8,"31,191",10.348
supports,8,"31,028",10.343
Canadian,8,"30,942",10.34
projects,8,"30,888",10.338
followed,8,"30,823",10.336
networks,8,"30,731",10.333
